S000002143
S000031098
S000028594
S000031372
S000121252
S000028862
S000028864
S000028865
S000028866
S000002142
S000030944
S000028593
S000031368
S000121253
S000000062
S000029932
S000000061
S000029887
S000001817
S000037154
S000002141
S000034793
S000002140
S000031541
S000000060
S000037087
S000006787
S000028813
S000033613
S000000059
S000036982
S000118317
S000178034
S000000058
S000036963
S000000057
S000036902
S000000056
S000036089
S000000055
S000035122
S000028734
S000033378
S000000054
S000034933
S000002139
S000035879
S000000052
S000033885
S000121254
S000000051
S000033812
S000000050
S000033073
S000000049
S000033037
S000000048
S000032862
S000000047
S000031896
S000028733
S000033377
S000000046
S000030895
S000000045
S000030803
S000000044
S000030666
S000007586
S000037097
S000000043
S000030576
S000000042
S000037751
S000000041
S000037691
S000000040
S000037669
S000002138
S000030422
S000000039
S000037599
S000000038
S000036825
S000000037
S000035956
S000118318
S000178035
S000000036
S000035915
S000028592
S000031366
S000028732
S000033376
S000000035
S000035798
S000000034
S000034719
S000000033
S000034678
S000000032
S000031836
S000002137
S000031374
S000002134
S000034508
S000000031
S000034465
S000000030
S000033541
S000028731
S000033375
S000000029
S000033476
S000000028
S000033437
S000033438
S000033439
S000000027
S000033821
S000000026
S000033747
S000000025
S000033629
S000028730
S000033374
S000119380
S000120654
S000000024
S000030197
S000000023
S000030064
S000000022
S000029981
S000000021
S000037355
S000000020
S000037286
S000000019
S000037200
S000028729
S000032720
S000000018
S000037124
S000000017
S000037555
S000000016
S000032033
S000000015
S000031992
S000118319
S000178036
S000028528
S000030333
S000000014
S000031874
S000028728
S000032719
S000000013
S000036247
S000000012
S000036146
S000000011
S000036100
S000000010
S000035250
S000000009
S000035116
S000000008
S000034958
S000000007
S000034070
S000000006
S000033957
S000000005
S000033112
S000006786
S000006680
S000035969
S000035967
S000035968
S000002136
S000032057
S000000004
S000032096
S000000003
S000031941
S000031942
S000031943
S000007500
S000036595
S000000002
S000031737
S000121255
S000000001
S000030735
S000030734
S000030736
S000006463
S000077257
S000077258
S000077259
S000000063
S000035473
S000002129
S000032940
S000000064
S000035547
S000000065
S000036676
S000000066
S000037450
S000077372
S000121251
S000118986
S000006788
S000006789
S000000067
S000037508
S000000068
S000030210
S000006792
S000006790
S000006521
S000034842
S000000069
S000031457
S000000070
S000031548
S000000071
S000032711
S000028735
S000033379
S000000072
S000032794
S000114488
S000178037
S000000073
S000034578
S000000074
S000035643
S000006636
S000033745
S000033743
S000033744
S000006719
S000032337
S000006795
S000006793
S000000075
S000036855
S000000076
S000036899
S000000077
S000036967
S000000078
S000030609
S000001821
S000036694
S000000079
S000030819
S000006794
S000000080
S000031976
S000028595
S000031375
S000000081
S000035065
S000000083
S000031684
S000000084
S000036444
S000000085
S000037285
S000006791
S000121256
S000178038
S000000086
S000032661
S000000087
S000033393
S000000089
S000033577
S000002144
S000034603
S000000091
S000035691
S000121257
S000000092
S000035758
S000000093
S000036733
S000000094
S000036824
S000000095
S000037618
S000002145
S000037740
S000028937
S000028938
S000028939
S000028438
S000028665
S000032490
S000003760
S000033322
S000033321
S000033323
S000028439
S000028901
S000028902
S000028903
S000028904
S000028905
S000003759
S000032445
S000028664
S000032489
S000028663
S000032488
S000003758
S000032381
S000028440
S000003756
S000032208
S000003757
S000032237
S000003755
S000031251
S000003754
S000031119
S000003753
S000030093
S000028441
S000178121
S000003752
S000029921
S000003751
S000037269
S000003750
